798,江西景德镇,0798
799,江西萍乡,0799
812,四川攀枝花,0812
813,四川自贡,0813
816,四川绵阳,0816
817,四川南充,0817
818,四川达州,0818
825,四川遂宁,0825
826,四川广安,0826
827,四川巴中,0827
830,四川泸州,0830
831,四川宜宾,0831
832,四川内江,0832
833,四川乐山,0833
834,四川凉山,0834
835,四川雅安,0835
836,四川甘孜州,0836
837,四川阿坝州,0837
838,四川德阳,0838
839,四川广元,0839
851,贵州贵阳,0851
852,贵州遵义,0852
853,贵州安顺,0853
854,贵州都匀,0854
855,贵州凯里,0855
856,贵州铜仁,0856
857,贵州毕节,0857
858,贵州六盘水,0858
859,贵州兴义,0859
870,云南昭通,0870
871,云南昆明,0871
872,云南大理,0872
873,云南红河,0873
874,云南曲靖,0874
875,云南保山,0875
876,云南文山,0876
877,云南玉溪,0877
878,云南楚雄,0878
879,云南思茅,0879
883,云南临沧,0883
886,云南怒江,0886
887,云南迪庆,0887
888,云南丽江,0888
891,西藏拉萨,0891
892,西藏日喀则,0892
893,西藏山南,0893
894,西藏林芝,0894
895,西藏昌都,0895
896,西藏那曲,0896
897,西藏阿里,0897
898,海南海口,0898
899,海南三亚,0899
901,新疆塔城,0901
902,新疆哈密,0902
903,新疆和田,0903
906,新疆阿勒泰,0906
908,新疆克州,0908
909,新疆博乐,0909
910,陕西咸阳,0910
911,陕西延安,0911
912,陕西榆林,0912
913,陕西渭南,0913
914,陕西商洛,0914
915,陕西安康,0915
916,陕西汉中,0916
917,陕西宝鸡,0917
919,陕西铜川,0919
930,甘肃临夏,0930
931,甘肃兰州,0931
932,甘肃定西,0932
933,甘肃平凉,0933
934,甘肃庆阳,0934
935,甘肃武威,0935
936,甘肃张掖,0936
937,甘肃嘉峪关,0937
938,甘肃天水,0938
939,甘肃陇南,0939
941,甘肃甘南,0941
943,甘肃白银,0943
951,宁夏银川,0951
952,宁夏石嘴山,0952
953,宁夏吴忠,0953
954,宁夏固原,0954
955,宁夏中卫,0955
970,青海海北州,0970
971,青海西宁,0971
972,青海海东,0972
973,青海黄南,0973
974,青海共和,0974
975,青海果洛,0975
976,青海玉树,0976
977,青海德令哈,0977
979,青海格尔木,0979
990,新疆克拉玛依,0990
991,新疆乌鲁木齐,0991
992,新疆奎屯,0992
993,新疆石河子,0993
994,新疆昌吉,0994
995,新疆吐鲁番,0995
996,新疆库尔勒,0996
997,新疆阿克苏,0997
998,新疆喀什,0998
999,新疆伊犁,0999
10000,中国电信客服,1
10001,中国电信客服,1
10010,中国联通客服,1
10011,中国联通充值卡服务,1
10018,中国联通VIP客户服务,1
10086,中国移动客服,1
10088,中国移动VIP客户服务,1
11183,全球邮政特快专递,1
11185,中国邮政热线,1
12110,短信报警,1
12117,报时服务,1
12121,天气预报,1
12301,旅游服务,1
12305,邮政申诉,1
12306,铁路客户服务中心,1
12308,公路客运平台,1
12309,职务犯罪举报,1
12312,知识产权保护,1
12315,消费者举报热线,1
12318,文化市场举报,1
12319,城建服务,1
12320,卫生公益热线,1
12321,不良信息举报,1
12333,劳动保障咨询,1
12338,妇女维权热线,1
12345,市政府服务热线,1
12348,法律咨询,1
12351,法律援助,1
12355,青少年法律与心理咨询,1
12356,阳光计生服务,1
12358,价格举报,1
12365,质量监督,1
12366,纳税服务,1
12369,环保投诉,1
12380,中共组织部举报,1
12395,水上求救,1
12580,中国移动综合信息服务,1
95033,南方航空,1
95080,深圳航空,1
95120,卫生部,1
95188,支付宝,1
95500,中国太平洋保险,1
95501,深圳发展银行,1
95502,永安财产保险,1
95503,东方证券,1
95504,中石油加油卡客服,1
95505,天安保险,1
95506,民安保险（中国）,1
95507,大众保险,1
95508,广发银行,1
95509,华泰保险,1
95510,阳光财产保险,1
95511,平安保险,1
95512,平安保险,1
95513,联合证券,1
95515,合众人寿保险,1
95516,中国银联,1
95517,1安信证券,1
95518,中国人民保险,1
95519,中国人寿保险,1
95520,上海吉祥航空,1
95521,国泰君安证券,1
95522,泰康人寿保险,1
95523,申银万国证券,1
95524,春秋航空,1
95525,光大证券,1
95526,北京银行,1
95527,浙商银行,1
95528,上海浦发银行,1
95529,太平保险,1
95530,中国东方航空,1
95531,东海期货,1
95532,中投证券,1
95533,中国建设银行,1
95534,银联商务,1
95535,生命人寿保险,1
95536,国信证券,1
95537,哈尔滨银行,1
95538,齐鲁证券,1
95539,中国南方航空,1
95540,华安保险,1
95542,百年人寿,1
95543,申通快递,1
95545,中英寿险,1
95548,中信控股,1
